X,species,unique,series,cell_type,cell_line,tissue_type,IF,platform,FactorName,FactorType,MappedReadsNumber,RawReadsNumber,FastQCscore,UniquelyMappedRatio,PBC,FRiP,UnionDHSRatio,AllPeaksNumber,PeaksFoldChange>=10,PeaksFoldChange>=20,PeaksPromoterPercentage,PeaksExonPercentage,PeaksIntronPercentage,PeaksIntergenicPercentage
269,Homo sapiens,GSM648495,GSE26427,T Lymphocyte,aTconv,Blood,4.092,GPL9052,H3K4me3,hm,2060265,15380003,28,0.134,0.932,0.669,0.974,26972,7935,72,0.185876502894463,0.231557072881104,0.385371827222799,0.197194597001633
273,Homo sapiens,GSM575280,GSE23455,Embryonic Stem Cell,BG01,Embryo,25.421,GPL9052,H3K4me3,hm,9589292,29385060,37,0.326,0.925,0.421,0.975,38594,8562,96,0.229626937355591,0.199667696461487,0.365767543290324,0.204937822892598
275,Homo sapiens,GSM575281,GSE23455,Embryonic Stem Cell,BG03,Embryo,25.421,GPL9052,H3K4me3,hm,9349484,14622567,30,0.639,0.802,0.728,0.977,32270,10668,185,0.232590615690169,0.191472194637537,0.390268123138034,0.18566906653426
385,Homo sapiens,GSM353616,GSE14092,Epithelial,LNCaP,Prostate,26.566,GPL9052,H3K4me3,hm,4386761,11453521,18,0.383,0.937,0.52,0.97,23902,9738,636,0.249842694743907,0.258483996811947,0.372121313813499,0.119551994630647
386,Homo sapiens,GSM353614,GSE14092,Epithelial,LNCaP,Prostate,26.566,GPL9052,H3K4me3,hm,3266962,5726285,33,0.571,0.948,0.554,0.974,22510,9053,353,0.255010243163802,0.267212968736083,0.362340785606128,0.115436002493988
389,Homo sapiens,GSM732911,GSE29600,T Lymphocyte,CUTLL1,Blood,9.681,GPL9052,H3K4me3,hm,10338126,13073705,33,0.791,0.969,0.603,0.974,37136,8301,140,0.218124426698322,0.151702368747639,0.408190794798468,0.221982409755571
538,Homo sapiens,GSM575279,GSE23455,Fibroblast,GM01660,NA,25.421,GPL9052,H3K4me3,hm,1611656,3311898,40,0.487,0.954,0.064,0.934,7885,90,1,0.174930078820239,0.19908466819222,0.516399694889397,0.109585558098144
900,Homo sapiens,GSM605315,GSE16256,Embryonic Stem Cell,H1,Embryo,36.28,GPL9115,H3K4me3,hm,15390561,20360983,30,0.756,0.97,0.606,0.975,43379,10772,376,0.258595608100307,0.1636225090632,0.36425981942873,0.213522063407763
901,Homo sapiens,GSM537681,GSE17312,Embryonic Stem Cell,H1,Embryo,23.268,GPL9115,H3K4me3,hm,11303675,14190726,32,0.797,0.989,0.133,0.968,28978,1612,8,0.240369639705119,0.206139895476413,0.401758211331464,0.151732253487004
902,Homo sapiens,GSM537680,GSE17312,Embryonic Stem Cell,H1,Embryo,23.268,GPL9115,H3K4me3,hm,1464639,2016618,19,0.726,0.998,0.087,0.897,6930,391,3,0.222592324402607,0.0912382331643736,0.593338160753077,0.0928312816799421
903,Homo sapiens,GSM433170,GSE17312,Embryonic Stem Cell,H1,Embryo,23.268,GPL9115,H3K4me3,hm,6149374,13730204,15,0.448,0.994,0.286,0.965,30236,2253,12,0.239307738213646,0.157250845434653,0.417246866918639,0.186194549433061
904,Homo sapiens,GSM432392,GSE16368,Embryonic Stem Cell,H1,Embryo,23.268,GPL9115,H3K4me3,hm,8076550,13211769,22,0.611,0.907,0.656,0.971,38570,12579,799,0.178334504019355,0.191550248445589,0.377793386924738,0.252321860610318
905,Homo sapiens,GSM410808,GSE16368,Embryonic Stem Cell,H1,Embryo,23.268,GPL9115,H3K4me3,hm,4456473,8966624,25,0.497,0.97,0.531,0.974,23565,7598,75,0.217193608703043,0.263640999490056,0.381225565187829,0.137939826619072
908,Homo sapiens,GSM469971,GSE16256,Embryonic Stem Cell,H1,Embryo,36.28,GPL9052,H3K4me3,hm,8554813,22053477,23,0.388,0.85,0.652,0.976,29007,14796,2685,0.241088989337842,0.276595010524136,0.314481901935751,0.16783409820227
909,Homo sapiens,GSM409308,GSE16256,Embryonic Stem Cell,H1,Embryo,36.28,GPL9115,H3K4me3,hm,4843645,7763232,28,0.624,0.972,0.537,0.973,31588,7980,159,0.251204513756815,0.22679726131609,0.361005452009636,0.160992772917459
1043,Homo sapiens,GSM727596,GSE29422,Embryonic Stem Cell,H9,Embryo,4.069,GPL9115,H3K4me3,hm,10968425,13797614,30,0.795,0.986,0.282,0.977,35203,6950,95,0.230685930865464,0.230942406884956,0.367473141261292,0.170898520988288
1044,Homo sapiens,GSM727572,GSE29422,Embryonic Stem Cell,H9,Embryo,4.069,GPL9115,H3K4me3,hm,9703105,21930525,22,0.442,0.98,0.495,0.973,41208,9270,168,0.240045783308575,0.197038696636875,0.353067238146263,0.209848281908287
1045,Homo sapiens,GSM616128,GSE16256,Embryonic Stem Cell,H9,Embryo,36.28,GPL9115,H3K4me3,hm,10401581,37036236,2,0.281,0.972,0.226,0.971,36261,5259,36,0.258673074798365,0.187437852171031,0.379626560601039,0.174262512429566
1046,Homo sapiens,GSM605316,GSE16256,Embryonic Stem Cell,H9,Embryo,36.28,GPL9115,H3K4me3,hm,10450515,17950910,27,0.582,0.975,0.581,0.972,39706,11672,439,0.255852674066599,0.184258324924319,0.361099899091826,0.198789101917255
1047,Homo sapiens,GSM327662,GSE13084,Embryonic Stem Cell,H9,Embryo,8.694,GPL9052,H3K4me3,hm,9534660,22955497,20,0.415,0.96,0.412,0.971,45894,5580,5,0.231695610437211,0.113753381621433,0.392966227419496,0.261584780521861
1048,Homo sapiens,GSM602296,GSE24447,Embryonic Stem Cell,H9,Embryo,36.28,GPL9052,H3K4me3,hm,14278790,17211980,38,0.83,0.943,0.846,0.977,34894,13575,1109,0.213775495567859,0.214263174502998,0.336211595283858,0.235749734645285
1255,Homo sapiens,GSM566169,GSE20303,Epithelial,HeLa,Cervix,32.403,GPL9115,H3K4me3,hm,12656913,14816718,30,0.854,0.928,0.473,0.974,22731,6804,114,0.265320518472798,0.142976809805132,0.461246803632837,0.130455868089234
1256,Homo sapiens,GSM501713,GSE20040,Epithelial,HeLa,Cervix,12.712,GPL9115,H3K4me3,hm,4252263,6897698,28,0.616,0.843,0.565,0.972,28033,5329,36,0.23993288590604,0.139761530772526,0.47661716407254,0.143688419248893
1257,Homo sapiens,GSM418300,GSE15735,Epithelial,HeLa,Cervix,32.403,GPL9052,H3K4me3,hm,3243460,5627540,40,0.576,0.873,0.315,0.978,15692,6400,161,0.202694075587334,0.334525025536262,0.386299795709908,0.0764811031664964
1514,Homo sapiens,GSM537665,GSE17312,Embryonic Stem Cell,hES I3,Embryo,23.268,GPL9115,H3K4me3,hm,16708258,28623791,28,0.584,0.961,0.185,0.968,49428,2670,7,0.230939248925298,0.0795887744342607,0.407149809392489,0.282322167247952
1515,Homo sapiens,GSM537626,GSE17312,Embryonic Stem Cell,hES I3,Embryo,23.268,GPL9115,H3K4me3,hm,4392803,16301897,21,0.269,0.959,0.125,0.931,21972,1340,1,0.278069015818024,0.104025162966677,0.447417604959657,0.170488216255641
1624,Homo sapiens,GSM520386,GSE20753,Fibroblast,Hs68,Foreskin,5.527,GPL9115,H3K4me3,hm,12100327,16578316,27,0.73,0.915,0.577,0.98,31936,11994,1077,0.235474965491279,0.219130380223366,0.358357384866357,0.187037269418999
1625,Homo sapiens,GSM520385,GSE20753,Fibroblast,Hs68,Foreskin,5.527,GPL9115,H3K4me3,hm,7650541,13533086,24,0.565,0.911,0.582,0.979,35644,11126,399,0.252064954767657,0.198966117885037,0.356942181266506,0.1920267460808
1706,Homo sapiens,GSM669936,GSE19465,Embryonic Stem Cell,HUES48,Embryo,23.268,GPL9115,H3K4me3,hm,22998033,29966480,32,0.767,0.972,0.571,0.973,45150,9654,323,0.211796664514262,0.167197345861816,0.351584244394469,0.269421745229454
1714,Homo sapiens,GSM669893,GSE17312,Embryonic Stem Cell,HUES6,Embryo,23.268,GPL9115,H3K4me3,hm,27835913,34660616,33,0.803,0.982,0.491,0.974,63336,8560,184,0.183136310334992,0.118039489113555,0.379361708870789,0.319462491680664
1715,Homo sapiens,GSM669889,GSE17312,Embryonic Stem Cell,HUES6,Embryo,23.268,GPL9115,H3K4me3,hm,23236149,31451138,31,0.739,0.979,0.525,0.977,51259,9644,250,0.202597198791636,0.162834948409118,0.347875554160618,0.286692298638628
1724,Homo sapiens,GSM669967,GSE19465,Embryonic Stem Cell,HUES64,Embryo,23.268,GPL9115,H3K4me3,hm,30039899,39913402,32,0.753,0.96,0.581,0.974,48565,9085,263,0.200654759438067,0.144689403671626,0.366458082963822,0.288197753926485
1834,Homo sapiens,GSM521901,GSE16256,Fibroblast,IMR90,Lung,36.28,GPL9115,H3K4me3,hm,30151702,40385339,3,0.747,0.934,0.802,0.976,46369,15326,1486,0.194130730527543,0.162797728303354,0.377572394135049,0.265499147034054
1835,Homo sapiens,GSM469970,GSE16256,Fibroblast,IMR90,Lung,36.28,GPL9115,H3K4me3,hm,9336449,16845165,27,0.554,0.948,0.796,0.977,32640,12877,1132,0.26130021465808,0.22591229684146,0.334038638454462,0.178748850045998
1883,Homo sapiens,GSM575289,GSE23455,iPSC,iPS 4,NA,25.421,GPL9052,H3K4me3,hm,3814592,9631391,36,0.396,0.557,0.239,0.962,24667,2430,4,0.220923151869443,0.232168229610685,0.413023180286607,0.133885438233264
1885,Homo sapiens,GSM575286,GSE23455,iPSC,iPS A1,NA,25.421,GPL9052,H3K4me3,hm,8185876,13756577,30,0.595,0.966,0.552,0.976,37644,9240,146,0.23224312744498,0.197700721185832,0.371849801740426,0.198206349628762
1887,Homo sapiens,GSM575287,GSE23455,iPSC,iPS A6,NA,25.421,GPL9052,H3K4me3,hm,2135367,3727872,38,0.573,0.968,0.256,0.962,23324,2441,1,0.214693632186869,0.237193524840053,0.413113487053974,0.134999355919103
1889,Homo sapiens,GSM575288,GSE23455,iPSC,iPS C1,NA,25.421,GPL9052,H3K4me3,hm,8078807,12685540,30,0.637,0.952,0.6,0.975,37886,11235,258,0.236741171802672,0.212590927126042,0.34966274302341,0.201005158047877
1895,Homo sapiens,GSM706074,GSE16256,iPSC,iPS DF 19.11,Foreskin,36.28,GPL9115,H3K4me3,hm,20255211,27987489,33,0.724,0.971,0.572,0.974,34374,13563,971,0.234374088123723,0.232419025386636,0.324102713743799,0.209104172745842
1904,Homo sapiens,GSM706075,GSE16256,iPSC,iPS DF 6.9,NA,36.28,GPL9115,H3K4me3,hm,25949300,34833449,39,0.745,0.979,0.524,0.976,33277,11614,544,0.232724862943551,0.247032953792397,0.298240857883005,0.222001325381047
1907,Homo sapiens,GSM537694,GSE19465,iPSC,iPS-11a,NA,23.268,GPL9115,H3K4me3,hm,14064465,18631390,31,0.755,0.983,0.261,0.972,31126,4935,16,0.254189764084053,0.189731855098621,0.394708005672296,0.16137037514503
1911,Homo sapiens,GSM537687,GSE19465,iPSC,iPS-15b,NA,23.268,GPL9115,H3K4me3,hm,20855617,28265196,30,0.738,0.987,0.284,0.972,48499,4651,28,0.235761918568529,0.133951870107277,0.378101313009982,0.252184898314211
1919,Homo sapiens,GSM537676,GSE19465,iPSC,iPS-18c,NA,23.268,GPL9115,H3K4me3,hm,10460791,15077501,33,0.694,0.871,0.423,0.976,33840,5738,24,0.25185251052226,0.202768391724465,0.351858438555931,0.193520659197344
1927,Homo sapiens,GSM621423,GSE19465,iPSC,iPS-20b,NA,23.268,GPL9115,H3K4me3,hm,24179097,34184973,30,0.707,0.984,0.123,0.957,37013,1781,12,0.242553770759597,0.0901715219166894,0.453852436700245,0.213422270623469
1941,Homo sapiens,GSM569085,GSE23080,T Lymphocyte,Jurkat E6-1,Blood,NA,GPL9115,H3K4me3,hm,9326291,16031124,34,0.582,0.985,0.07,0.929,18212,1461,5,0.267650622315233,0.0669677277233175,0.497191320630025,0.168190329331424
