X,species,unique,series,cell_type,cell_line,tissue_type,IF,platform,FactorName,FactorType,MappedReadsNumber,RawReadsNumber,FastQCscore,UniquelyMappedRatio,PBC,FRiP,UnionDHSRatio,AllPeaksNumber,PeaksFoldChange>=10,PeaksFoldChange>=20,PeaksPromoterPercentage,PeaksExonPercentage,PeaksIntronPercentage,PeaksIntergenicPercentage
135,Mus musculus,GSM535762,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,8925396,14204578,36,0.628,0.937,0.374,0.996,21595,3299,17,0.276789446792698,0.169817455525106,0.417901435273352,0.135491662408844
136,Mus musculus,GSM535755,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,9907536,22960735,25,0.431,0.982,0.349,0.992,24009,2719,17,0.265864058189115,0.13916060530056,0.460496613995485,0.13447872251484
137,Mus musculus,GSM535748,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,10136955,16784932,33,0.604,0.97,0.367,0.996,22254,2804,15,0.274870407933288,0.148298399819698,0.436691458192472,0.140139734054541
138,Mus musculus,GSM535741,GSE21365,Preadipocyte,3T3-L1,Adipose,32.403,GPL9185,H3K4me3,hm,6078625,11703965,32,0.519,0.974,0.353,0.992,22862,2066,12,0.263774346376557,0.142261800315845,0.468941919635024,0.125021933672574
306,Mus musculus,GSM721293,GSE25308,Myoblast,C2C12,Muscle,9.681,GPL9250,H3K4me3,hm,34910090,53835666,31,0.648,0.977,0.235,0.973,33301,249,7,0.192561361240777,0.0966420719771119,0.553621442553832,0.157175124228279
307,Mus musculus,GSM721292,GSE25308,Myoblast,C2C12,Muscle,9.681,GPL9250,H3K4me3,hm,38206983,79034522,26,0.483,0.971,0.328,0.985,39032,506,9,0.194563625619813,0.0768697171338283,0.515607738355214,0.212958918891144
340,Mus musculus,GSM487548,GSE16893,Embryonic Stem Cell,C6,Embryo,32.403,GPL9250,H3K4me3,hm,3950878,5066737,38,0.78,0.846,0.534,0.996,26615,7099,18,0.205761781187709,0.263229154913686,0.37538079657001,0.155628267328595
347,Mus musculus,GSM487545,GSE16893,Embryonic Stem Cell,C6,Embryo,32.403,GPL9250,H3K4me3,hm,4230663,5571921,35,0.759,0.89,0.524,0.996,28016,7324,15,0.208531313636526,0.242649423028831,0.382730163266764,0.166089100067879
412,Mus musculus,GSM651193,GSE26136,Embryonic Stem Cell,E14,Embryo,32.403,GPL11002,H3K4me3,hm,21960397,31957843,33,0.687,0.962,0.773,0.999,63558,16727,615,0.1214639905549,0.196064541519087,0.349862258953168,0.332609208972845
509,Mus musculus,GSM746562,GSE30142,Erythroid Cell,G1E,Blood,13.608,GPL11002,H3K4me3,hm,74099568,95699196,37,0.774,0.994,0.196,0.998,18821,5096,34,0.179998929851784,0.20038525335759,0.4111509444058,0.208464872384825
510,Mus musculus,GSM746561,GSE30142,Erythroid Cell,G1E,Blood,13.608,GPL11002,H3K4me3,hm,30861065,35334197,29,0.873,0.935,0.714,0.999,32499,7909,462,0.128186947004963,0.192187933532694,0.432746554860191,0.246878564602152
525,Mus musculus,GSM746576,GSE30142,Erythroid Cell,G1E-ER4,Blood,13.608,GPL11002,H3K4me3,hm,78089447,103282886,37,0.756,0.997,0.089,0.995,43282,3826,13,0.0818272510034104,0.136417418741155,0.39635292207039,0.385402408185045
526,Mus musculus,GSM746575,GSE30142,Erythroid Cell,G1E-ER4,Blood,13.608,GPL11002,H3K4me3,hm,9713196,11447979,2,0.848,0.929,0.623,0.997,24476,7514,380,0.210911918795023,0.180500982318271,0.413392272429601,0.195194826457105
2635,Mus musculus,GSM392055,GSE15519,Embryonic Stem Cell,R1,Embryo,9.681,GPL9185,H3K4me3,hm,2828737,7864518,21,0.36,0.958,0.232,0.963,20690,1337,6,0.288654302455087,0.0674059367585105,0.477313447290688,0.166626313495714
2636,Mus musculus,GSM392045,GSE15519,Embryonic Stem Cell,R1,Embryo,9.681,GPL9185,H3K4me3,hm,3152071,6683336,25,0.472,0.927,0.237,0.976,23526,900,6,0.263195981610761,0.104120551677167,0.462199897837562,0.17048356887451
2767,Mus musculus,GSM540721,GSE21671,T Lymphocyte,NA,Blood,21.637,GPL9185,H3K4me3,hm,13240468,16059189,31,0.824,0.99,0.069,0.932,20428,1997,12,0.195650039277298,0.119648468185389,0.490966221523959,0.193735271013354
2833,Mus musculus,GSM594581,GSE24165,Embryonic Stem Cell,V6.5,Embryo,9.681,GPL9250,H3K4me3,hm,8795500,12590079,38,0.699,0.477,0.236,0.992,16862,5662,17,0.195911818884069,0.296155445956385,0.407213738190029,0.100718996969517
